nct_id,indication
NCT04978727,Medulloblastoma
NCT04978727,Glioblastoma
NCT04978727,Anaplastic Astrocytoma
NCT04978727,Anaplastic Astrocytoma
NCT04978727,Anaplastic Oligodendroglioma
NCT04978727,WHO Grade 3 Glioma
NCT04978727,Ependymoma
NCT04978727,Diffuse Intrinsic Pontine Glioma
NCT05186545,Breast Cancer
NCT05186545,Breast Cancer
NCT05381038,Solid Tumors
NCT05381038,Digestive System Neoplasm
NCT05381038,Breast Cancer
NCT05429398,Solid Tumors
NCT05362409,High-Grade Glioma
NCT04655391,Acute Myeloid Leukemia
NCT05600309,Colorectal Cancer
NCT05085054,Non-Small Cell Lung Cancer
NCT05389293,Follicular Lymphoma
NCT05389293,Hematology
NCT05393804,Multiple Myeloma
NCT05479812,Solid Tumors
NCT05479812,Solid Tumors
NCT05055063,Multiple Myeloma
NCT05263999,Graft Versus Host Disease
NCT05263999,Graft Versus Host Disease
NCT05263999,Acute Graft Versus Host Disease
NCT05263999,Acute Graft Versus Host Disease
NCT05263999,aGVHD
NCT05135715,Skin Melanoma
NCT05135715,HER2-Positive Breast Cancer
NCT05135715,Skin Melanoma
NCT05198934,Colorectal Cancer
NCT05397184,T-cell acute lymphoblastic leukemia
NCT05327582,Pancreatic Cancer
NCT05327582,Biliary Tract Cancer
NCT05317325,Esophageal Cancer
NCT04826016,Breast Cancer
NCT05315700,Solid Tumors
NCT05024305,Solid Tumors
NCT05081193,Prostate Cancer
NCT05081193,Castration-Resistant Prostate Carcinoma
NCT05081193,Castration-Resistant Prostate Carcinoma
NCT05231850,Colon Carcinoma
NCT05296772,Digestive System Neoplasm
NCT05296772,"Neoplasm, Experimental"
NCT05296772,Epithelial Neoplasm
NCT05296772,Hematology
NCT05302921,Osteosarcoma
NCT05302921,Ewing Sarcoma
NCT05302921,Rhabdomyosarcoma
NCT05302921,Relapsed Pediatric Solid Tumor
NCT05302921,Solid Tumors
NCT05302921,Male Reproductive System Neoplasm
NCT05302921,Liver Cancer
NCT05302921,Hepatocellular Carcinoma
NCT05302921,Kidney Wilms Tumor
NCT05302921,Kidney Wilms Tumor
NCT05636566,Epithelial Neoplasm
NCT05636566,Follicular Lymphoma
NCT05204628,Non-Small Cell Lung Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colon Carcinoma
NCT04119830,Mismatch Repair Proficient
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04119830,Colorectal Cancer
NCT04591028,Gastric Cancer
NCT05239182,Pancreatic Cancer
NCT04965077,Solid Tumors
NCT05305859,Acute Myeloid Leukemia
NCT05305859,Acute Myeloid Leukemia
NCT05305859,Leukemia
NCT05111366,Hepatocellular Carcinoma
NCT05111366,Adjuvant Therapy
NCT04956276,Warm Autoimmune Hemolytic Anemia
NCT05796089,Extensive Stage Lung Small Cell Carcinoma
NCT05183958,Esophageal Cancer
NCT05067283,Solid Tumors
NCT05078671,Cancer
NCT05170334,Uveal Melanoma
NCT04372927,Non-Small Cell Lung Cancer
NCT04372927,Thoracic Neoplasm
NCT04372927,Thoracic Neoplasm
NCT04372927,Thoracic Neoplasm
NCT04372927,Thoracic Neoplasm
NCT05155189,Hepatocellular Carcinoma
NCT04837196,Solid Tumors
NCT04837196,Digestive System Neoplasm
NCT05114720,Breast Cancer
NCT05001347,Ovarian Cancer
NCT05001347,Ovarian Cancer
NCT05001347,Head and Neck Neoplasm
NCT05001347,Non-Small Cell Lung Cancer
NCT05001347,Digestive System Neoplasm
NCT05001347,Triple-Negative Breast Cancer
NCT04999540,Breast Cancer
NCT05627778,Prostate Cancer
NCT04337177,Solid Tumors
NCT04337177,Kidney Wilms Tumor
NCT04337177,Rhabdomyosarcoma
NCT04337177,Ewing Sarcoma
NCT04337177,Liver Cancer
NCT04337177,Medulloblastoma
NCT04891809,Multiple Myeloma
NCT05061537,Renal Cell Carcinoma
NCT05061537,Male Reproductive System Neoplasm
NCT05061537,Non-Small Cell Lung Cancer
NCT05061537,Hepatocellular Carcinoma
NCT05061537,Bladder Cancer
NCT05061537,Sarcoma
NCT05061537,Head and Neck Neoplasm
NCT05061537,Colorectal Cancer
NCT05061537,Ovarian Cancer
NCT05061537,Epithelial Neoplasm
NCT05083481,Solid Tumors
NCT05008224,Classic Hodgkin Lymphoma
NCT04933903,Non-Small Cell Lung Cancer
NCT04982900,Multiple Primary Lung Cancers
NCT04278651,Pregnancy Related
NCT04278651,"Anemia, Iron Deficiency"
NCT04278651,Anemia of Pregnancy
NCT04985851,Extensive Stage Lung Small Cell Carcinoma
NCT04003896,Biliary Tract Cancer
NCT05017012,Solid Tumors
NCT05039931,Breast Cancer
NCT05039931,Solid Tumors
NCT05002270,Solid Tumors
NCT05002270,Non-Small Cell Lung Cancer
NCT05002270,Colorectal Cancer
NCT05103891,Male Reproductive System Neoplasm
NCT05103891,BRAF V600 Mutation
NCT05103891,Uveal Melanoma
NCT05103891,Metastatic Melanoma
NCT05078138,Exercise-Induced Anemia
NCT05078138,Physical Performance
NCT04826107,Gastric Cancer
NCT04955886,Nasopharyngeal Cancer
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Hematology
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Neoplasms by Histologic Type
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Female Reproductive System Neoplasm
NCT04807166,Endocrine Neoplasm
NCT04807166,Epithelial Neoplasm
NCT04807166,Anlotinib
NCT04807166,Angiogenesis
NCT04807166,Antineoplastic Agents
NCT04807166,Tyrosine Kinase Inhibitor
NCT04877613,Thyroid Cancer
NCT05075122,Head and Neck Squamous Cell Carcinoma
NCT04517227,Hepatocellular Carcinoma
NCT04924101,Small Cell Lung Cancer
NCT04898634,Male Reproductive System Neoplasm
NCT04906395,Breast Cancer
NCT04937972,Non-Small Cell Lung Cancer
NCT04946890,Acute Myeloid Leukemia
NCT04961788,Intrahepatic Cholangiocarcinoma
NCT04846920,Non-Clear Cell Renal Cell Carcinoma
NCT04808570,Hematology
NCT04717531,Breast Cancer
NCT04878692,Non-Small Cell Lung Cancer
NCT04878692,Digestive System Neoplasm
NCT04878692,Head and Neck Neoplasm
NCT04938297,Central Nervous System Lymphoma
NCT04902885,Extensive Stage Lung Small Cell Carcinoma
NCT06669013,Rhabdomyosarcoma
NCT06669013,Bone Sarcoma
NCT06669013,Rhabdomyosarcoma
NCT04690595,Acute Lymphoblastic Leukemia
NCT05893654,Uveal Melanoma
NCT04912765,Hepatocellular Carcinoma
NCT04912765,Hepatocellular Carcinoma
NCT04912765,Colorectal Cancer
NCT04912765,Colorectal Cancer
NCT04912765,Liver Cancer
NCT04511078,Head and Neck Neoplasm
NCT04868747,Gastric Cancer
NCT04954001,Neurofibromatosis
NCT04954001,Neurofibroma
NCT04954001,Malignant Peripheral Nerve Sheath Tumor
NCT04649476,Lip and Oral Cavity Cancer
NCT04965155,Multiple Myeloma
NCT04731467,Solid Tumors
NCT04731467,Non-Small Cell Lung Cancer
NCT04731467,Pancreatic Cancer
NCT04731467,Ovarian Cancer
NCT04731467,Thyroid Gland Papillary Carcinoma
NCT04731467,Male Reproductive System Neoplasm
NCT04731467,Colorectal Cancer
NCT04749394,Non-Small Cell Lung Cancer
NCT04508309,Cervical Cancer
NCT04923529,Pancreatic Cancer
NCT04721015,Solid Tumors
NCT04721015,Non-Small Cell Lung Cancer
NCT05143112,B-Cell Non-Hodgkin Lymphoma
NCT04709731,Chronic Leukemia
NCT04688983,Acute Lymphoblastic Leukemia
NCT04471974,Castration-Resistant Prostate Carcinoma
NCT04471974,Prostate Cancer
NCT04471974,Prostate Neuroendocrine Carcinoma
NCT04471974,Prostate Cancer
NCT04471974,Prostate Cancer
NCT04471974,Prostate Cancer
NCT04640246,Cancer
NCT04640246,Solid Tumors
NCT04640246,Testicular Germ Cell Cancer
NCT04942730,Acute Lymphoblastic Leukemia
NCT04942730,Acute Myeloid Leukemia
NCT04942730,Acute Leukemia
NCT04942730,T Lymphoblastic Lymphoma
NCT04942730,Myelodysplastic Syndrome
NCT04942730,Myeloproliferative Neoplasm
NCT04943757,Acute Myeloid Leukemia
NCT04943757,Chronic Myeloid Leukemia
NCT04943757,Myelodysplastic Syndrome
NCT04943757,Myeloproliferative Neoplasm
NCT04890392,Gastric Cancer
NCT04890392,Gastroesophageal Junction Cancer
NCT05906615,Pancreatic Cancer
NCT05906615,Chronic Pancreatitis
NCT04634071,Smoking Cessation
NCT04634071,Leukemia
NCT04605185,Hepatocellular Carcinoma
NCT05549778,Castration-Resistant Prostate Carcinoma
NCT04622566,Head and Neck Neoplasm
NCT04622566,Neoadjuvant Treatment
NCT04686383,Solid Tumors
NCT04493060,Pancreatic Cancer
NCT04493060,Pancreatic Cancer
NCT04683354,Epithelial Neoplasm
NCT04650451,HER-2 Gene Amplification
NCT04650451,HER2-positive Gastric Cancer
NCT04650451,HER2-Positive Breast Cancer
NCT04650451,HER-2 Protein Overexpression
NCT04650451,Epithelial Neoplasm
NCT05304754,High-risk Leukemias
NCT04532281,Acute Lymphoblastic Leukemia
NCT04532281,Non-Hodgkin Lymphoma
NCT04602689,Gastric Cancer
NCT04602689,Digestive System Neoplasm
NCT04501094,Urothelial Carcinoma
NCT04225676,Acute Lymphoblastic Leukemia
NCT04614636,Acute Myeloid Leukemia
NCT04614636,Acute Myeloid Leukemia
NCT04614636,Multiple Myeloma
NCT04614636,Multiple Myeloma
NCT04604132,Gastric Cancer
NCT04592653,Solid Tumors
NCT04584008,Biliary Tract Cancer
NCT04584008,Gastric Cancer
NCT04584008,Esophageal Cancer
NCT04584008,Colorectal Cancer
NCT04584008,Gastrointestinal Stromal Tumor
NCT04584008,Pancreatic Cancer
NCT04584008,Neuroendocrine Tumors
NCT04584008,Carcinoma of Unknown Primary
NCT04584008,Digestive System Neoplasm
NCT04552769,Thyroid Cancer
NCT04552769,Thyroid Gland Anaplastic Carcinoma
NCT04552769,Thyroid Gland Anaplastic Carcinoma
NCT04566380,Pan-tumor
NCT04459663,Non-Small Cell Lung Cancer
NCT04512417,Esophageal Cancer
NCT04398108,HER2-Positive Breast Cancer
NCT04189107,Analgesia
NCT04189107,Surgery
NCT04189107,Head and Neck Neoplasm
NCT04189107,Oropharyngeal Cancer
NCT04189107,Carcinoma of Unknown Primary
NCT04189107,"Pain, Postoperative"
NCT04189107,Postoperative Pain
NCT04344158,Hepatocellular Carcinoma
NCT04435197,Esophageal Cancer
NCT05513612,Acute Myeloid Leukemia
NCT05513612,B-Cell Non-Hodgkin Lymphoma
NCT05513612,Multiple Myeloma
NCT05513612,Adult T-Cell Leukemia/Lymphoma
NCT05513612,Acute Lymphoblastic Leukemia
NCT04493125,Gastric Cancer
NCT04379739,Non-Small Cell Lung Cancer
NCT04469075,Glioblastoma
NCT04469075,Glioblastoma
NCT04469075,Skin Toxicity
NCT04433221,Sarcoma
NCT04433221,Osteoid Sarcoma
NCT04433221,Ewing Sarcoma
NCT06540937,Neuroendocrine Tumors
NCT04329949,Pancreatic Cancer
NCT04427774,Solid Tumors
NCT04992988,Nasopharyngeal Cancer
NCT04992988,Toripalimab
NCT04992988,Nasopharyngeal Cancer
NCT04314089,Non-Small Cell Lung Cancer
NCT04400383,Solid Tumors
NCT04400383,Gastric Cancer
NCT04400383,Pancreatic Cancer
NCT04429438,B-Cell Non-Hodgkin Lymphoma
NCT04383977,Ovarian Cancer
NCT04334174,T-Cell Non-Hodgkin Lymphoma
NCT04275713,Cervical Cancer
NCT04426669,Epithelial Neoplasm
NCT04426669,Digestive System Neoplasm
NCT04426669,Digestive System Neoplasm
NCT04426669,Digestive System Neoplasm
NCT04426669,Digestive System Neoplasm
NCT04426669,Colorectal Cancer
NCT04426669,Pancreatic Cancer
NCT04426669,Gallbladder Carcinoma
NCT04426669,Colon Carcinoma
NCT04426669,Esophageal Cancer
NCT04426669,Gastric Cancer
NCT04272957,Acute Myeloid Leukemia
NCT04186845,Prostate Cancer
NCT04353102,Solid Tumors
NCT04279561,Castration-Resistant Prostate Carcinoma
NCT04279561,Prostate Cancer
NCT04279561,Prostate Cancer
NCT04279561,Prostate Cancer
NCT04279561,Prostate Cancer
NCT04134884,Brain Metastasis
NCT04134884,Triple-Negative Breast Cancer
NCT04134884,Hormone Receptor-Positive Breast Cancer
NCT04102020,Acute Myeloid Leukemia
NCT03996473,Non-Small Cell Lung Cancer
NCT04319263,Bladder Cancer
NCT05999994,Neoplasms
NCT05999994,Child
NCT05999994,Rhabdomyosarcoma
NCT04192253,"Locally Advanced, Squamous Cell Carcinoma of the Vulva"
NCT04187456,Solid Tumors
NCT04132050,Idiopathic Thrombocytopenic Purpura
NCT04193904,Pancreatic Cancer
NCT04187352,Esophageal Cancer
NCT04200417,Thoracic Neoplasm
NCT04200417,Rare Neoplasm
NCT04200417,Thoracic Neoplasm
NCT04200417,Thoracic Neoplasm
NCT03935893,Gastric Cancer
NCT03935893,Colorectal Cancer
NCT03935893,Pancreatic Cancer
NCT03935893,Sarcoma
NCT03935893,Mesothelioma
NCT03935893,Neuroendocrine Tumors
NCT03935893,Epithelial Neoplasm
NCT03935893,Merkel Cell Carcinoma
NCT03935893,Mismatch Repair Deficiency
NCT03935893,Microsatellite Instability
NCT04133337,Lung Diseases
NCT04133337,Neoplasms
NCT04133337,Respiratory Tract Diseases
NCT04133337,Thoracic Neoplasm
NCT04133337,Non-Small Cell Lung Cancer
NCT03984448,Double-Hit Lymphoma
NCT03984448,Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma
NCT03984448,Diffuse Large B-Cell Lymphoma
NCT03984448,Diffuse Large B-Cell Lymphoma
NCT03984448,Diffuse Large B-Cell Lymphoma
NCT03984448,Diffuse Large B-Cell Lymphoma
NCT03984448,Double-Hit Lymphoma
NCT03984448,High Grade B-Cell Lymphoma
NCT04865289,Female Reproductive System Neoplasm
NCT04074187,Thrombotic Thrombocytopenic Purpura
NCT03994796,CDK Gene Mutation
NCT03994796,Brain Metastasis
NCT03994796,Solid Tumors
NCT03994796,Connective and Soft Tissue Neoplasm
NCT03994796,PI3K Gene Mutation
NCT03994796,ROS1 Gene Mutation
NCT03994796,KRAS G12C Mutation
NCT03857841,Bronchopulmonary Dysplasia
NCT03792763,Multiple Myeloma
NCT04277221,Glioblastoma
NCT04050462,Hepatocellular Carcinoma
NCT04021368,Acute Myeloid Leukemia
NCT04021368,Myelodysplastic Syndrome
NCT04139772,Castration-Resistant Prostate Carcinoma
NCT04043494,Non-Hodgkin Lymphoma
